id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bulan;luas_panen;satuan;produksi_padi;satuan;produktivitas_padi;satuan;tahun
1;32;JAWA BARAT;3201;KABUPATEN BOGOR;JANUARI;4270;HEKTAR;25475;TON GABAH KERING GILING;59.66;KUINTAL PER HEKTAR;2018
2;32;JAWA BARAT;3201;KABUPATEN BOGOR;FEBRUARI;4246;HEKTAR;25290;TON GABAH KERING GILING;59.56;KUINTAL PER HEKTAR;2018
3;32;JAWA BARAT;3201;KABUPATEN BOGOR;MARET;7525;HEKTAR;44928;TON GABAH KERING GILING;59.7;KUINTAL PER HEKTAR;2018
4;32;JAWA BARAT;3201;KABUPATEN BOGOR;APRIL;6616;HEKTAR;39470;TON GABAH KERING GILING;59.65;KUINTAL PER HEKTAR;2018
5;32;JAWA BARAT;3201;KABUPATEN BOGOR;MEI;6574;HEKTAR;36418;TON GABAH KERING GILING;55.4;KUINTAL PER HEKTAR;2018
6;32;JAWA BARAT;3201;KABUPATEN BOGOR;JUNI;4336;HEKTAR;24022;TON GABAH KERING GILING;55.41;KUINTAL PER HEKTAR;2018
7;32;JAWA BARAT;3201;KABUPATEN BOGOR;JULI;7533;HEKTAR;41728;TON GABAH KERING GILING;55.4;KUINTAL PER HEKTAR;2018
8;32;JAWA BARAT;3201;KABUPATEN BOGOR;AGUSTUS;5527;HEKTAR;30630;TON GABAH KERING GILING;55.41;KUINTAL PER HEKTAR;2018
9;32;JAWA BARAT;3201;KABUPATEN BOGOR;SEPTEMBER;4328;HEKTAR;23307;TON GABAH KERING GILING;53.86;KUINTAL PER HEKTAR;2018
10;32;JAWA BARAT;3201;KABUPATEN BOGOR;OKTOBER;3619;HEKTAR;19488;TON GABAH KERING GILING;53.85;KUINTAL PER HEKTAR;2018
11;32;JAWA BARAT;3201;KABUPATEN BOGOR;NOVEMBER;4357;HEKTAR;23462;TON GABAH KERING GILING;53.84;KUINTAL PER HEKTAR;2018
12;32;JAWA BARAT;3201;KABUPATEN BOGOR;DESEMBER;2686;HEKTAR;14464;TON GABAH KERING GILING;53.86;KUINTAL PER HEKTAR;2018
13;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;JANUARI;2758;HEKTAR;15877;TON GABAH KERING GILING;57.57;KUINTAL PER HEKTAR;2018
14;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;FEBRUARI;17629;HEKTAR;95781;TON GABAH KERING GILING;54.33;KUINTAL PER HEKTAR;2018
15;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;MARET;18469;HEKTAR;94558;TON GABAH KERING GILING;51.2;KUINTAL PER HEKTAR;2018
16;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;APRIL;6201;HEKTAR;33311;TON GABAH KERING GILING;53.72;KUINTAL PER HEKTAR;2018
17;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;MEI;7472;HEKTAR;36897;TON GABAH KERING GILING;49.38;KUINTAL PER HEKTAR;2018
18;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;JUNI;17120;HEKTAR;84189;TON GABAH KERING GILING;49.18;KUINTAL PER HEKTAR;2018
19;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;JULI;11949;HEKTAR;58521;TON GABAH KERING GILING;48.98;KUINTAL PER HEKTAR;2018
20;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;AGUSTUS;5453;HEKTAR;26826;TON GABAH KERING GILING;49.19;KUINTAL PER HEKTAR;2018
21;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;SEPTEMBER;5588;HEKTAR;28080;TON GABAH KERING GILING;50.25;KUINTAL PER HEKTAR;2018
22;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;OKTOBER;4410;HEKTAR;22198;TON GABAH KERING GILING;50.34;KUINTAL PER HEKTAR;2018
23;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;NOVEMBER;3683;HEKTAR;18415;TON GABAH KERING GILING;50;KUINTAL PER HEKTAR;2018
24;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;DESEMBER;2232;HEKTAR;11206;TON GABAH KERING GILING;50.21;KUINTAL PER HEKTAR;2018
25;32;JAWA BARAT;3203;KABUPATEN CIANJUR;JANUARI;2613;HEKTAR;14607;TON GABAH KERING GILING;55.9;KUINTAL PER HEKTAR;2018
26;32;JAWA BARAT;3203;KABUPATEN CIANJUR;FEBRUARI;16289;HEKTAR;91276;TON GABAH KERING GILING;56.03;KUINTAL PER HEKTAR;2018
27;32;JAWA BARAT;3203;KABUPATEN CIANJUR;MARET;21005;HEKTAR;120075;TON GABAH KERING GILING;57.16;KUINTAL PER HEKTAR;2018
28;32;JAWA BARAT;3203;KABUPATEN CIANJUR;APRIL;9674;HEKTAR;56371;TON GABAH KERING GILING;58.27;KUINTAL PER HEKTAR;2018
29;32;JAWA BARAT;3203;KABUPATEN CIANJUR;MEI;8183;HEKTAR;44744;TON GABAH KERING GILING;54.68;KUINTAL PER HEKTAR;2018
30;32;JAWA BARAT;3203;KABUPATEN CIANJUR;JUNI;14465;HEKTAR;79610;TON GABAH KERING GILING;55.04;KUINTAL PER HEKTAR;2018
